Parameters vs. Time
Time (min.)	AlignX	AlignY	Temperature(C)	Intensity
6.787817	2.580392	8.133014	133.929657	1.633427	
6.841850	2.548647	8.184234	134.807037	1.635921	
6.895850	2.433834	8.433027	135.714905	1.626442	
6.949850	2.510885	8.360610	136.600159	1.630093	
7.003850	2.367698	8.391453	137.446442	1.630355	
7.057883	2.325794	8.555012	138.331894	1.626220	
7.111883	2.209024	8.633175	139.206451	1.625560	
7.165717	2.200787	8.914956	140.081436	1.614272	
7.219550	2.039550	8.897286	140.974304	1.618543	
7.273417	1.874808	9.010280	141.869751	1.617412	
7.327250	1.650563	9.134791	142.763092	1.619618	
7.381250	1.668921	9.325029	143.632370	1.607509	
7.435250	1.478151	9.358406	144.528824	1.609136	
7.489250	1.363563	9.547530	145.431198	1.601128	
7.543250	1.190382	9.713137	146.272919	1.598278	
7.597250	0.964749	9.793339	147.156128	1.600910	
7.651283	0.835735	9.961301	148.018997	1.595773	
7.705317	0.623521	9.999566	148.908539	1.598519	
7.759383	0.508371	10.096009	149.807648	1.585221	
7.813383	0.328468	10.493041	150.651917	1.579274	
7.867417	0.106790	10.437359	151.445663	1.586554	
7.921450	-0.066788	10.653269	152.464386	1.580859	
7.975450	-0.198251	10.896886	153.305862	1.564903	
8.029516	-0.386392	10.862088	154.191452	1.566207	
8.083517	-0.744722	11.014924	155.098480	1.566886	
8.137550	-0.803645	11.434118	156.019623	1.543581	
8.191584	-1.188936	11.342879	157.005890	1.557166	
8.245584	-1.329518	11.786753	157.799438	1.531808	
8.299617	-1.661945	11.790830	158.743332	1.530245	
8.353450	-1.905053	12.059002	159.602432	1.522856	
8.407284	-2.143423	12.260205	160.477142	1.512700	
8.461150	-2.475159	12.616873	161.417480	1.498027	
8.515183	-2.729866	12.740712	162.200134	1.494725	
8.569217	-3.164426	12.871115	163.131485	1.485025	
8.623217	-3.565149	12.978562	163.952118	1.482194	
8.677250	-3.795890	13.276155	164.782074	1.468556	
8.731250	-4.036986	13.587345	165.760239	1.449660	
8.785283	-4.441558	13.806521	166.576233	1.438017	
8.839316	-4.727307	13.474733	167.545761	1.450536	
8.893316	-5.424830	12.464587	168.499039	1.483115	
8.947284	-6.057809	10.419663	169.234390	1.561979	
9.001317	-5.971807	10.396811	170.156082	1.566195	
9.055317	-6.076468	10.620978	171.023499	1.553588	
9.109150	-5.859734	10.936416	171.908966	1.548814	
9.162983	-5.832866	11.014241	172.767090	1.540524	
9.216817	-5.750271	11.082723	173.695541	1.541828	
9.270717	-5.711057	11.532645	174.519012	1.524585	
9.324717	-5.727376	11.411955	175.365036	1.526119	
9.378583	-5.514616	11.618194	176.253860	1.523800	
9.432384	-5.435777	11.801040	177.120941	1.514970	
9.486350	-5.585869	11.746563	178.013245	1.521134	
9.540250	-5.413605	12.021676	178.903702	1.507309	
9.594250	-5.250332	12.074939	179.826111	1.505599	
9.648283	-5.216829	12.233559	180.736649	1.503665	
9.702316	-5.219737	12.545062	181.580673	1.490295	
9.756317	-5.140782	12.680911	182.385330	1.484878	
9.810416	-5.014805	12.684073	183.282059	1.484265	
9.864450	-4.954026	12.910139	184.207352	1.474142	
9.918450	-4.903661	12.831316	185.068649	1.481843	
9.972450	-4.867796	12.955071	186.003448	1.475050	
10.026317	-4.685544	13.211974	186.923004	1.463880	
10.080116	-4.546364	13.086518	187.733063	1.474553	
10.133984	-4.564225	13.375008	188.640030	1.456820	
10.187917	-4.572431	13.412590	189.449463	1.455134	
10.241850	-4.339452	13.401896	190.263504	1.458423	
10.383917	-4.050213	13.922518	192.686554	1.437202	
10.437917	-3.984656	13.778111	193.550613	1.443392	
10.491917	-3.870422	13.954370	194.372665	1.435615	
10.545983	-3.776889	13.862270	195.339584	1.440586	
10.599983	-3.891524	14.065683	196.247330	1.434125	
10.654016	-3.584811	14.274487	197.123932	1.423295	
10.708016	-3.531083	14.407966	198.020050	1.417728	
10.762050	-3.394421	14.293862	198.900406	1.426461	
